Group Starts,Avg - Delay (Peace Arch)
2019-03-23 00:00:00,0.5
2019-03-23 01:00:00,0.0
2019-03-23 02:00:00,0.0
2019-03-23 03:00:00,0.3
2019-03-23 04:00:00,0.0
2019-03-23 05:00:00,1.2
2019-03-23 06:00:00,0.8
2019-03-23 07:00:00,6.5
2019-03-23 08:00:00,29.0
2019-03-23 09:00:00,49.8
2019-03-23 10:00:00,55.4
2019-03-23 11:00:00,62.9
2019-03-23 12:00:00,52.7
2019-03-23 13:00:00,46.3
2019-03-23 14:00:00,36.8
2019-03-23 15:00:00,36.6
2019-03-23 16:00:00,42.4
2019-03-23 17:00:00,46.1
2019-03-23 18:00:00,37.1
2019-03-23 19:00:00,22.4
2019-03-23 20:00:00,10.8
2019-03-23 21:00:00,0.5
2019-03-23 22:00:00,0.3
2019-03-23 23:00:00,1.5
