Group Starts,Avg - Delay (Peace Arch)
2019-06-17 00:00:00,0.0
2019-06-17 01:00:00,0.0
2019-06-17 02:00:00,0.0
2019-06-17 03:00:00,1.3
2019-06-17 04:00:00,12.3
2019-06-17 05:00:00,0.0
2019-06-17 06:00:00,0.0
2019-06-17 07:00:00,0.2
2019-06-17 08:00:00,0.6
2019-06-17 09:00:00,5.5
2019-06-17 10:00:00,29.0
2019-06-17 11:00:00,44.3
2019-06-17 12:00:00,39.3
2019-06-17 13:00:00,42.3
2019-06-17 14:00:00,36.3
2019-06-17 15:00:00,24.5
2019-06-17 16:00:00,18.3
2019-06-17 17:00:00,6.2
2019-06-17 18:00:00,0.5
2019-06-17 19:00:00,3.3
2019-06-17 20:00:00,0.6
2019-06-17 21:00:00,0.4
2019-06-17 22:00:00,5.0
2019-06-17 23:00:00,5.9
