Group Starts,Avg - Delay (Peace Arch)
2019-04-18 00:00:00,0.0
2019-04-18 01:00:00,0.1
2019-04-18 02:00:00,0.0
2019-04-18 03:00:00,0.0
2019-04-18 04:00:00,0.0
2019-04-18 05:00:00,0.1
2019-04-18 06:00:00,0.1
2019-04-18 07:00:00,0.5
2019-04-18 08:00:00,0.3
2019-04-18 09:00:00,0.9
2019-04-18 10:00:00,16.3
2019-04-18 11:00:00,30.1
2019-04-18 12:00:00,45.1
2019-04-18 13:00:00,33.7
2019-04-18 14:00:00,13.9
2019-04-18 15:00:00,3.7
2019-04-18 16:00:00,1.7
2019-04-18 17:00:00,7.9
2019-04-18 18:00:00,17.3
2019-04-18 19:00:00,18.9
2019-04-18 20:00:00,8.3
2019-04-18 21:00:00,1.4
2019-04-18 22:00:00,0.5
2019-04-18 23:00:00,1.1
