Group Starts,Avg - Delay (Peace Arch)
2019-02-22 00:00:00,0.0
2019-02-22 01:00:00,0.0
2019-02-22 02:00:00,0.0
2019-02-22 03:00:00,0.0
2019-02-22 04:00:00,0.0
2019-02-22 05:00:00,0.0
2019-02-22 06:00:00,0.0
2019-02-22 07:00:00,0.0
2019-02-22 08:00:00,2.1
2019-02-22 09:00:00,10.6
2019-02-22 10:00:00,17.8
2019-02-22 11:00:00,24.9
2019-02-22 12:00:00,30.0
2019-02-22 13:00:00,13.2
2019-02-22 14:00:00,14.8
2019-02-22 15:00:00,9.8
2019-02-22 16:00:00,13.3
2019-02-22 17:00:00,2.1
2019-02-22 18:00:00,1.4
2019-02-22 19:00:00,0.4
2019-02-22 20:00:00,0.6
2019-02-22 21:00:00,0.3
2019-02-22 22:00:00,0.2
2019-02-22 23:00:00,1.3
