Group Starts,Avg - Delay (Peace Arch)
2019-07-10 00:00:00,0.1
2019-07-10 01:00:00,0.0
2019-07-10 02:00:00,0.0
2019-07-10 03:00:00,0.0
2019-07-10 04:00:00,0.0
2019-07-10 05:00:00,0.1
2019-07-10 06:00:00,0.0
2019-07-10 07:00:00,0.5
2019-07-10 08:00:00,2.1
2019-07-10 09:00:00,0.7
2019-07-10 10:00:00,5.9
2019-07-10 11:00:00,19.7
2019-07-10 12:00:00,19.3
2019-07-10 13:00:00,20.8
2019-07-10 14:00:00,28.9
2019-07-10 15:00:00,19.0
2019-07-10 16:00:00,3.7
2019-07-10 17:00:00,1.9
2019-07-10 18:00:00,1.8
2019-07-10 19:00:00,1.6
2019-07-10 20:00:00,1.3
2019-07-10 21:00:00,0.6
2019-07-10 22:00:00,0.5
2019-07-10 23:00:00,2.4
