Group Starts,Avg - Delay (Peace Arch)
2019-07-09 00:00:00,0.3
2019-07-09 01:00:00,0.0
2019-07-09 02:00:00,0.0
2019-07-09 03:00:00,0.0
2019-07-09 04:00:00,0.0
2019-07-09 05:00:00,2.3
2019-07-09 06:00:00,0.9
2019-07-09 07:00:00,0.9
2019-07-09 08:00:00,0.9
2019-07-09 09:00:00,0.3
2019-07-09 10:00:00,2.0
2019-07-09 11:00:00,1.9
2019-07-09 12:00:00,7.5
2019-07-09 13:00:00,12.9
2019-07-09 14:00:00,6.6
2019-07-09 15:00:00,2.5
2019-07-09 16:00:00,2.5
2019-07-09 17:00:00,1.6
2019-07-09 18:00:00,1.9
2019-07-09 19:00:00,9.7
2019-07-09 20:00:00,2.6
2019-07-09 21:00:00,7.7
2019-07-09 22:00:00,17.8
2019-07-09 23:00:00,1.3
