Group Starts,Avg - Delay (Peace Arch)
2019-05-19 00:00:00,0.1
2019-05-19 01:00:00,0.0
2019-05-19 02:00:00,0.0
2019-05-19 03:00:00,0.0
2019-05-19 04:00:00,0.0
2019-05-19 05:00:00,1.3
2019-05-19 06:00:00,12.8
2019-05-19 07:00:00,28.8
2019-05-19 08:00:00,31.4
2019-05-19 09:00:00,41.9
2019-05-19 10:00:00,60.8
2019-05-19 11:00:00,62.7
2019-05-19 12:00:00,53.2
2019-05-19 13:00:00,50.5
2019-05-19 14:00:00,53.5
2019-05-19 15:00:00,32.2
2019-05-19 16:00:00,25.2
2019-05-19 17:00:00,10.3
2019-05-19 18:00:00,24.1
2019-05-19 19:00:00,9.1
2019-05-19 20:00:00,0.5
2019-05-19 21:00:00,0.3
2019-05-19 22:00:00,1.3
2019-05-19 23:00:00,2.1
