Group Starts,Avg - Delay (Peace Arch)
2019-04-14 00:00:00,0.2
2019-04-14 01:00:00,0.0
2019-04-14 02:00:00,0.0
2019-04-14 03:00:00,0.0
2019-04-14 04:00:00,0.0
2019-04-14 05:00:00,0.0
2019-04-14 06:00:00,0.0
2019-04-14 07:00:00,1.7
2019-04-14 08:00:00,3.4
2019-04-14 09:00:00,4.3
2019-04-14 10:00:00,36.8
2019-04-14 11:00:00,31.7
2019-04-14 12:00:00,38.4
2019-04-14 13:00:00,57.3
2019-04-14 14:00:00,58.3
2019-04-14 15:00:00,50.8
2019-04-14 16:00:00,66.8
2019-04-14 17:00:00,57.3
2019-04-14 18:00:00,48.0
2019-04-14 19:00:00,37.3
2019-04-14 20:00:00,51.8
2019-04-14 21:00:00,7.3
2019-04-14 22:00:00,1.6
2019-04-14 23:00:00,0.4
