Group Starts,Avg - Delay (Peace Arch)
2019-06-01 00:00:00,2.1
2019-06-01 01:00:00,0.0
2019-06-01 02:00:00,0.0
2019-06-01 03:00:00,0.0
2019-06-01 04:00:00,0.0
2019-06-01 05:00:00,1.4
2019-06-01 06:00:00,8.7
2019-06-01 07:00:00,27.9
2019-06-01 08:00:00,45.2
2019-06-01 09:00:00,58.1
2019-06-01 10:00:00,59.0
2019-06-01 11:00:00,50.3
2019-06-01 12:00:00,48.0
2019-06-01 13:00:00,28.5
2019-06-01 14:00:00,12.8
2019-06-01 15:00:00,10.0
2019-06-01 16:00:00,15.5
2019-06-01 17:00:00,22.3
2019-06-01 18:00:00,19.4
2019-06-01 19:00:00,9.3
2019-06-01 20:00:00,10.2
2019-06-01 21:00:00,2.3
2019-06-01 22:00:00,1.2
2019-06-01 23:00:00,5.8
