Group Starts,Avg - Delay (Peace Arch)
2019-01-30 00:00:00,0.0
2019-01-30 01:00:00,0.0
2019-01-30 02:00:00,0.1
2019-01-30 03:00:00,0.1
2019-01-30 04:00:00,0.0
2019-01-30 05:00:00,0.0
2019-01-30 06:00:00,0.0
2019-01-30 07:00:00,0.1
2019-01-30 08:00:00,0.2
2019-01-30 09:00:00,0.7
2019-01-30 10:00:00,2.1
2019-01-30 11:00:00,13.0
2019-01-30 12:00:00,9.8
2019-01-30 13:00:00,6.7
2019-01-30 14:00:00,0.3
2019-01-30 15:00:00,4.3
2019-01-30 16:00:00,2.2
2019-01-30 17:00:00,0.2
2019-01-30 18:00:00,0.3
2019-01-30 19:00:00,0.0
2019-01-30 20:00:00,0.0
2019-01-30 21:00:00,0.0
2019-01-30 22:00:00,0.0
2019-01-30 23:00:00,0.1
