Group Starts,Avg - Delay (Peace Arch)
2019-07-26 00:00:00,0.2
2019-07-26 01:00:00,0.2
2019-07-26 02:00:00,0.0
2019-07-26 03:00:00,0.0
2019-07-26 04:00:00,0.0
2019-07-26 05:00:00,0.0
2019-07-26 06:00:00,2.6
2019-07-26 07:00:00,13.5
2019-07-26 08:00:00,14.3
2019-07-26 09:00:00,15.6
2019-07-26 10:00:00,28.1
2019-07-26 11:00:00,54.8
2019-07-26 12:00:00,42.0
2019-07-26 13:00:00,45.3
2019-07-26 14:00:00,43.3
2019-07-26 15:00:00,35.2
2019-07-26 16:00:00,27.6
2019-07-26 17:00:00,22.4
2019-07-26 18:00:00,35.3
2019-07-26 19:00:00,15.3
2019-07-26 20:00:00,1.8
2019-07-26 21:00:00,3.6
2019-07-26 22:00:00,1.4
2019-07-26 23:00:00,0.9
