Group Starts,Avg - Delay (Peace Arch)
2019-05-26 00:00:00,0.4
2019-05-26 01:00:00,0.0
2019-05-26 02:00:00,0.0
2019-05-26 03:00:00,0.0
2019-05-26 04:00:00,0.0
2019-05-26 05:00:00,0.0
2019-05-26 06:00:00,0.3
2019-05-26 07:00:00,4.2
2019-05-26 08:00:00,4.0
2019-05-26 09:00:00,7.5
2019-05-26 10:00:00,19.3
2019-05-26 11:00:00,20.3
2019-05-26 12:00:00,25.6
2019-05-26 13:00:00,32.0
2019-05-26 14:00:00,34.3
2019-05-26 15:00:00,48.1
2019-05-26 16:00:00,50.5
2019-05-26 17:00:00,37.6
2019-05-26 18:00:00,41.0
2019-05-26 19:00:00,34.2
2019-05-26 20:00:00,19.1
2019-05-26 21:00:00,3.1
2019-05-26 22:00:00,10.2
2019-05-26 23:00:00,3.7
