Group Starts,Avg - Delay (Peace Arch)
2019-06-10 00:00:00,0.0
2019-06-10 01:00:00,0.0
2019-06-10 02:00:00,0.0
2019-06-10 03:00:00,0.0
2019-06-10 04:00:00,0.0
2019-06-10 05:00:00,0.3
2019-06-10 06:00:00,0.1
2019-06-10 07:00:00,10.4
2019-06-10 08:00:00,6.8
2019-06-10 09:00:00,13.3
2019-06-10 10:00:00,31.5
2019-06-10 11:00:00,42.5
2019-06-10 12:00:00,34.9
2019-06-10 13:00:00,34.8
2019-06-10 14:00:00,16.6
2019-06-10 15:00:00,4.3
2019-06-10 16:00:00,5.1
2019-06-10 17:00:00,13.5
2019-06-10 18:00:00,2.4
2019-06-10 19:00:00,0.7
2019-06-10 20:00:00,0.2
2019-06-10 21:00:00,0.3
2019-06-10 22:00:00,0.0
2019-06-10 23:00:00,0.2
