Group Starts,Avg - Delay (Peace Arch)
2019-01-20 00:00:00,0.0
2019-01-20 01:00:00,0.0
2019-01-20 02:00:00,0.0
2019-01-20 03:00:00,0.0
2019-01-20 04:00:00,0.0
2019-01-20 05:00:00,0.0
2019-01-20 06:00:00,0.0
2019-01-20 07:00:00,0.0
2019-01-20 08:00:00,0.1
2019-01-20 09:00:00,0.2
2019-01-20 10:00:00,0.3
2019-01-20 11:00:00,0.7
2019-01-20 12:00:00,0.7
2019-01-20 13:00:00,7.5
2019-01-20 14:00:00,20.6
2019-01-20 15:00:00,26.1
2019-01-20 16:00:00,29.3
2019-01-20 17:00:00,32.5
2019-01-20 18:00:00,33.8
2019-01-20 19:00:00,31.1
2019-01-20 20:00:00,11.0
2019-01-20 21:00:00,3.2
2019-01-20 22:00:00,4.6
2019-01-20 23:00:00,1.3
