Group Starts,Avg - Delay (Peace Arch)
2019-07-14 00:00:00,13.5
2019-07-14 01:00:00,2.6
2019-07-14 02:00:00,0.6
2019-07-14 03:00:00,0.0
2019-07-14 04:00:00,0.0
2019-07-14 05:00:00,0.9
2019-07-14 06:00:00,1.7
2019-07-14 07:00:00,2.4
2019-07-14 08:00:00,3.4
2019-07-14 09:00:00,2.0
2019-07-14 10:00:00,15.2
2019-07-14 11:00:00,29.8
2019-07-14 12:00:00,31.5
2019-07-14 13:00:00,56.2
2019-07-14 14:00:00,47.1
2019-07-14 15:00:00,46.9
2019-07-14 16:00:00,42.4
2019-07-14 17:00:00,32.4
2019-07-14 18:00:00,12.3
2019-07-14 19:00:00,7.1
2019-07-14 20:00:00,1.2
2019-07-14 21:00:00,1.9
2019-07-14 22:00:00,5.0
2019-07-14 23:00:00,2.6
