Group Starts,Avg - Delay (Peace Arch)
2019-05-17 00:00:00,0.1
2019-05-17 01:00:00,0.0
2019-05-17 02:00:00,0.0
2019-05-17 03:00:00,0.0
2019-05-17 04:00:00,0.0
2019-05-17 05:00:00,0.3
2019-05-17 06:00:00,0.2
2019-05-17 07:00:00,8.8
2019-05-17 08:00:00,7.0
2019-05-17 09:00:00,1.9
2019-05-17 10:00:00,19.3
2019-05-17 11:00:00,20.3
2019-05-17 12:00:00,17.4
2019-05-17 13:00:00,15.0
2019-05-17 14:00:00,12.1
2019-05-17 15:00:00,8.5
2019-05-17 16:00:00,19.9
2019-05-17 17:00:00,29.7
2019-05-17 18:00:00,34.5
2019-05-17 19:00:00,34.3
2019-05-17 20:00:00,19.1
2019-05-17 21:00:00,2.1
2019-05-17 22:00:00,0.3
2019-05-17 23:00:00,3.8
