Group Starts,Avg - Delay (Peace Arch)
2019-05-18 00:00:00,1.3
2019-05-18 01:00:00,0.0
2019-05-18 02:00:00,0.0
2019-05-18 03:00:00,0.0
2019-05-18 04:00:00,0.0
2019-05-18 05:00:00,10.5
2019-05-18 06:00:00,37.0
2019-05-18 07:00:00,68.0
2019-05-18 08:00:00,72.5
2019-05-18 09:00:00,73.4
2019-05-18 10:00:00,87.1
2019-05-18 11:00:00,78.3
2019-05-18 12:00:00,66.2
2019-05-18 13:00:00,47.0
2019-05-18 14:00:00,54.5
2019-05-18 15:00:00,24.3
2019-05-18 16:00:00,20.8
2019-05-18 17:00:00,8.7
2019-05-18 18:00:00,5.2
2019-05-18 19:00:00,1.1
2019-05-18 20:00:00,10.9
2019-05-18 21:00:00,8.0
2019-05-18 22:00:00,3.8
2019-05-18 23:00:00,1.0
