Group Starts,Avg - Delay (Peace Arch)
2019-03-18 00:00:00,0.0
2019-03-18 01:00:00,0.0
2019-03-18 02:00:00,0.0
2019-03-18 03:00:00,0.0
2019-03-18 04:00:00,0.0
2019-03-18 05:00:00,0.1
2019-03-18 06:00:00,0.0
2019-03-18 07:00:00,0.3
2019-03-18 08:00:00,4.2
2019-03-18 09:00:00,25.3
2019-03-18 10:00:00,42.8
2019-03-18 11:00:00,60.2
2019-03-18 12:00:00,53.7
2019-03-18 13:00:00,69.1
2019-03-18 14:00:00,60.3
2019-03-18 15:00:00,52.6
2019-03-18 16:00:00,47.7
2019-03-18 17:00:00,30.2
2019-03-18 18:00:00,8.4
2019-03-18 19:00:00,0.8
2019-03-18 20:00:00,19.3
2019-03-18 21:00:00,4.0
2019-03-18 22:00:00,14.6
2019-03-18 23:00:00,1.9
