Group Starts,Avg - Delay (Peace Arch)
2019-07-07 00:00:00,17.6
2019-07-07 01:00:00,14.5
2019-07-07 02:00:00,1.6
2019-07-07 03:00:00,0.0
2019-07-07 04:00:00,0.0
2019-07-07 05:00:00,0.0
2019-07-07 06:00:00,0.8
2019-07-07 07:00:00,1.6
2019-07-07 08:00:00,11.3
2019-07-07 09:00:00,34.1
2019-07-07 10:00:00,36.8
2019-07-07 11:00:00,55.6
2019-07-07 12:00:00,71.9
2019-07-07 13:00:00,74.7
2019-07-07 14:00:00,77.0
2019-07-07 15:00:00,86.1
2019-07-07 16:00:00,63.2
2019-07-07 17:00:00,64.1
2019-07-07 18:00:00,58.9
2019-07-07 19:00:00,17.1
2019-07-07 20:00:00,0.9
2019-07-07 21:00:00,7.0
2019-07-07 22:00:00,8.7
2019-07-07 23:00:00,2.5
