Group Starts,Avg - Delay (Peace Arch)
2019-07-15 00:00:00,1.8
2019-07-15 01:00:00,0.3
2019-07-15 02:00:00,0.0
2019-07-15 03:00:00,0.0
2019-07-15 04:00:00,0.0
2019-07-15 05:00:00,0.3
2019-07-15 06:00:00,0.4
2019-07-15 07:00:00,1.2
2019-07-15 08:00:00,1.0
2019-07-15 09:00:00,0.7
2019-07-15 10:00:00,6.4
2019-07-15 11:00:00,17.9
2019-07-15 12:00:00,26.7
2019-07-15 13:00:00,37.0
2019-07-15 14:00:00,34.7
2019-07-15 15:00:00,34.6
2019-07-15 16:00:00,30.4
2019-07-15 17:00:00,18.1
2019-07-15 18:00:00,5.1
2019-07-15 19:00:00,3.3
2019-07-15 20:00:00,1.3
2019-07-15 21:00:00,2.2
2019-07-15 22:00:00,3.8
2019-07-15 23:00:00,3.8
