Group Starts,Avg - Delay (Peace Arch)
2019-02-23 00:00:00,0.0
2019-02-23 01:00:00,0.0
2019-02-23 02:00:00,0.0
2019-02-23 03:00:00,0.0
2019-02-23 04:00:00,0.0
2019-02-23 05:00:00,0.0
2019-02-23 06:00:00,0.2
2019-02-23 07:00:00,2.2
2019-02-23 08:00:00,1.6
2019-02-23 09:00:00,0.8
2019-02-23 10:00:00,3.4
2019-02-23 11:00:00,16.4
2019-02-23 12:00:00,15.5
2019-02-23 13:00:00,8.7
2019-02-23 14:00:00,2.3
2019-02-23 15:00:00,1.6
2019-02-23 16:00:00,1.2
2019-02-23 17:00:00,0.8
2019-02-23 18:00:00,1.0
2019-02-23 19:00:00,3.0
2019-02-23 20:00:00,0.7
2019-02-23 21:00:00,0.0
2019-02-23 22:00:00,1.7
2019-02-23 23:00:00,2.3
