Group Starts,Avg - Delay (Peace Arch)
2019-05-30 00:00:00,0.3
2019-05-30 01:00:00,0.0
2019-05-30 02:00:00,0.0
2019-05-30 03:00:00,0.0
2019-05-30 04:00:00,0.0
2019-05-30 05:00:00,0.0
2019-05-30 06:00:00,0.1
2019-05-30 07:00:00,0.2
2019-05-30 08:00:00,0.6
2019-05-30 09:00:00,8.2
2019-05-30 10:00:00,23.1
2019-05-30 11:00:00,31.6
2019-05-30 12:00:00,33.7
2019-05-30 13:00:00,32.2
2019-05-30 14:00:00,19.7
2019-05-30 15:00:00,6.3
2019-05-30 16:00:00,12.5
2019-05-30 17:00:00,9.2
2019-05-30 18:00:00,21.0
2019-05-30 19:00:00,13.7
2019-05-30 20:00:00,1.9
2019-05-30 21:00:00,2.7
2019-05-30 22:00:00,3.3
2019-05-30 23:00:00,7.3
