Group Starts,Avg - Delay (Peace Arch)
2019-02-21 00:00:00,0.0
2019-02-21 01:00:00,0.0
2019-02-21 02:00:00,0.1
2019-02-21 03:00:00,0.0
2019-02-21 04:00:00,0.0
2019-02-21 05:00:00,0.0
2019-02-21 06:00:00,0.1
2019-02-21 07:00:00,0.1
2019-02-21 08:00:00,0.0
2019-02-21 09:00:00,1.1
2019-02-21 10:00:00,1.7
2019-02-21 11:00:00,1.4
2019-02-21 12:00:00,2.1
2019-02-21 13:00:00,7.8
2019-02-21 14:00:00,2.6
2019-02-21 15:00:00,2.3
2019-02-21 16:00:00,0.0
2019-02-21 17:00:00,0.8
2019-02-21 18:00:00,0.8
2019-02-21 19:00:00,1.8
2019-02-21 20:00:00,1.7
2019-02-21 21:00:00,0.2
2019-02-21 22:00:00,0.0
2019-02-21 23:00:00,0.0
