Group Starts,Avg - Delay (Peace Arch)
2019-05-10 00:00:00,0.0
2019-05-10 01:00:00,0.0
2019-05-10 02:00:00,0.0
2019-05-10 03:00:00,0.0
2019-05-10 04:00:00,0.0
2019-05-10 05:00:00,0.1
2019-05-10 06:00:00,0.0
2019-05-10 07:00:00,0.3
2019-05-10 08:00:00,1.3
2019-05-10 09:00:00,1.3
2019-05-10 10:00:00,10.0
2019-05-10 11:00:00,16.2
2019-05-10 12:00:00,16.9
2019-05-10 13:00:00,6.3
2019-05-10 14:00:00,4.0
2019-05-10 15:00:00,2.4
2019-05-10 16:00:00,8.9
2019-05-10 17:00:00,22.4
2019-05-10 18:00:00,30.7
2019-05-10 19:00:00,25.5
2019-05-10 20:00:00,6.3
2019-05-10 21:00:00,0.8
2019-05-10 22:00:00,0.9
2019-05-10 23:00:00,0.4
