Group Starts,Avg - Delay (Peace Arch)
2019-07-18 00:00:00,0.6
2019-07-18 01:00:00,0.0
2019-07-18 02:00:00,0.1
2019-07-18 03:00:00,0.0
2019-07-18 04:00:00,0.0
2019-07-18 05:00:00,0.6
2019-07-18 06:00:00,0.2
2019-07-18 07:00:00,2.4
2019-07-18 08:00:00,1.5
2019-07-18 09:00:00,1.8
2019-07-18 10:00:00,13.9
2019-07-18 11:00:00,26.4
2019-07-18 12:00:00,13.8
2019-07-18 13:00:00,13.4
2019-07-18 14:00:00,4.6
2019-07-18 15:00:00,1.7
2019-07-18 16:00:00,6.0
2019-07-18 17:00:00,8.3
2019-07-18 18:00:00,24.4
2019-07-18 19:00:00,14.5
2019-07-18 20:00:00,6.7
2019-07-18 21:00:00,1.2
2019-07-18 22:00:00,0.7
2019-07-18 23:00:00,1.3
