Group Starts,Avg - Delay (Peace Arch)
2019-01-19 00:00:00,0.5
2019-01-19 01:00:00,0.1
2019-01-19 02:00:00,0.0
2019-01-19 03:00:00,0.0
2019-01-19 04:00:00,0.0
2019-01-19 05:00:00,0.0
2019-01-19 06:00:00,0.1
2019-01-19 07:00:00,3.4
2019-01-19 08:00:00,3.1
2019-01-19 09:00:00,3.9
2019-01-19 10:00:00,4.3
2019-01-19 11:00:00,7.3
2019-01-19 12:00:00,11.4
2019-01-19 13:00:00,4.7
2019-01-19 14:00:00,1.8
2019-01-19 15:00:00,2.3
2019-01-19 16:00:00,1.1
2019-01-19 17:00:00,1.9
2019-01-19 18:00:00,4.2
2019-01-19 19:00:00,6.8
2019-01-19 20:00:00,4.8
2019-01-19 21:00:00,2.7
2019-01-19 22:00:00,1.8
2019-01-19 23:00:00,0.7
