Group Starts,Avg - Delay (Peace Arch)
2019-02-26 00:00:00,0.0
2019-02-26 01:00:00,0.0
2019-02-26 02:00:00,0.0
2019-02-26 03:00:00,0.0
2019-02-26 04:00:00,0.0
2019-02-26 05:00:00,0.0
2019-02-26 06:00:00,0.1
2019-02-26 07:00:00,0.0
2019-02-26 08:00:00,0.2
2019-02-26 09:00:00,3.2
2019-02-26 10:00:00,16.4
2019-02-26 11:00:00,14.4
2019-02-26 12:00:00,11.3
2019-02-26 13:00:00,3.3
2019-02-26 14:00:00,3.1
2019-02-26 15:00:00,6.1
2019-02-26 16:00:00,0.8
2019-02-26 17:00:00,0.5
2019-02-26 18:00:00,0.1
2019-02-26 19:00:00,0.5
2019-02-26 20:00:00,0.0
2019-02-26 21:00:00,2.3
2019-02-26 22:00:00,0.0
2019-02-26 23:00:00,0.0
