Group Starts,Avg - Delay (Peace Arch)
2019-03-29 00:00:00,0.1
2019-03-29 01:00:00,0.1
2019-03-29 02:00:00,9.5
2019-03-29 03:00:00,0.0
2019-03-29 04:00:00,0.0
2019-03-29 05:00:00,0.0
2019-03-29 06:00:00,0.2
2019-03-29 07:00:00,1.1
2019-03-29 08:00:00,1.3
2019-03-29 09:00:00,14.2
2019-03-29 10:00:00,40.6
2019-03-29 11:00:00,43.1
2019-03-29 12:00:00,48.9
2019-03-29 13:00:00,47.3
2019-03-29 14:00:00,37.1
2019-03-29 15:00:00,20.8
2019-03-29 16:00:00,22.3
2019-03-29 17:00:00,38.8
2019-03-29 18:00:00,38.3
2019-03-29 19:00:00,29.3
2019-03-29 20:00:00,32.8
2019-03-29 21:00:00,16.8
2019-03-29 22:00:00,14.3
2019-03-29 23:00:00,2.7
