Group Starts,Avg - Delay (Peace Arch)
2019-04-06 00:00:00,0.5
2019-04-06 01:00:00,0.1
2019-04-06 02:00:00,0.0
2019-04-06 03:00:00,0.0
2019-04-06 04:00:00,0.0
2019-04-06 05:00:00,0.0
2019-04-06 06:00:00,0.4
2019-04-06 07:00:00,2.8
2019-04-06 08:00:00,4.3
2019-04-06 09:00:00,4.5
2019-04-06 10:00:00,17.4
2019-04-06 11:00:00,18.7
2019-04-06 12:00:00,15.4
2019-04-06 13:00:00,17.8
2019-04-06 14:00:00,15.6
2019-04-06 15:00:00,14.6
2019-04-06 16:00:00,37.0
2019-04-06 17:00:00,43.9
2019-04-06 18:00:00,48.3
2019-04-06 19:00:00,52.7
2019-04-06 20:00:00,24.9
2019-04-06 21:00:00,3.0
2019-04-06 22:00:00,17.8
2019-04-06 23:00:00,0.3
