Group Starts,Avg - Delay (Peace Arch)
2019-06-25 00:00:00,0.4
2019-06-25 01:00:00,0.0
2019-06-25 02:00:00,0.0
2019-06-25 03:00:00,0.0
2019-06-25 04:00:00,0.0
2019-06-25 05:00:00,0.2
2019-06-25 06:00:00,0.6
2019-06-25 07:00:00,0.2
2019-06-25 08:00:00,4.6
2019-06-25 09:00:00,18.3
2019-06-25 10:00:00,39.3
2019-06-25 11:00:00,42.0
2019-06-25 12:00:00,44.3
2019-06-25 13:00:00,44.2
2019-06-25 14:00:00,48.1
2019-06-25 15:00:00,40.3
2019-06-25 16:00:00,41.9
2019-06-25 17:00:00,27.8
2019-06-25 18:00:00,14.3
2019-06-25 19:00:00,5.3
2019-06-25 20:00:00,5.8
2019-06-25 21:00:00,0.3
2019-06-25 22:00:00,0.7
2019-06-25 23:00:00,0.2
