Group Starts,Avg - Delay (Peace Arch)
2019-06-06 00:00:00,0.0
2019-06-06 01:00:00,0.0
2019-06-06 02:00:00,0.0
2019-06-06 03:00:00,0.0
2019-06-06 04:00:00,0.0
2019-06-06 05:00:00,0.0
2019-06-06 06:00:00,0.9
2019-06-06 07:00:00,1.8
2019-06-06 08:00:00,7.7
2019-06-06 09:00:00,21.3
2019-06-06 10:00:00,41.4
2019-06-06 11:00:00,61.8
2019-06-06 12:00:00,54.3
2019-06-06 13:00:00,41.2
2019-06-06 14:00:00,20.9
2019-06-06 15:00:00,8.9
2019-06-06 16:00:00,24.0
2019-06-06 17:00:00,20.9
2019-06-06 18:00:00,23.3
2019-06-06 19:00:00,37.9
2019-06-06 20:00:00,5.9
2019-06-06 21:00:00,0.5
2019-06-06 22:00:00,0.0
2019-06-06 23:00:00,0.2
