Group Starts,Avg - Delay (Peace Arch)
2019-01-15 00:00:00,0.3
2019-01-15 01:00:00,0.1
2019-01-15 02:00:00,0.2
2019-01-15 03:00:00,0.4
2019-01-15 04:00:00,0.0
2019-01-15 05:00:00,0.0
2019-01-15 06:00:00,0.0
2019-01-15 07:00:00,0.3
2019-01-15 08:00:00,0.8
2019-01-15 09:00:00,1.2
2019-01-15 10:00:00,1.8
2019-01-15 11:00:00,1.3
2019-01-15 12:00:00,0.0
2019-01-15 13:00:00,0.6
2019-01-15 14:00:00,0.2
2019-01-15 15:00:00,0.1
2019-01-15 16:00:00,0.2
2019-01-15 17:00:00,1.3
2019-01-15 18:00:00,2.4
2019-01-15 19:00:00,0.5
2019-01-15 20:00:00,0.1
2019-01-15 21:00:00,0.2
2019-01-15 22:00:00,0.0
2019-01-15 23:00:00,0.2
