Group Starts,Avg - Delay (Peace Arch)
2019-06-12 00:00:00,0.0
2019-06-12 01:00:00,0.0
2019-06-12 02:00:00,0.0
2019-06-12 03:00:00,0.0
2019-06-12 04:00:00,0.0
2019-06-12 05:00:00,0.0
2019-06-12 06:00:00,1.9
2019-06-12 07:00:00,1.9
2019-06-12 08:00:00,0.0
2019-06-12 09:00:00,0.8
2019-06-12 10:00:00,4.2
2019-06-12 11:00:00,14.3
2019-06-12 12:00:00,2.5
2019-06-12 13:00:00,1.0
2019-06-12 14:00:00,0.8
2019-06-12 15:00:00,1.0
2019-06-12 16:00:00,0.9
2019-06-12 17:00:00,0.7
2019-06-12 18:00:00,1.0
2019-06-12 19:00:00,2.0
2019-06-12 20:00:00,0.7
2019-06-12 21:00:00,0.8
2019-06-12 22:00:00,1.3
2019-06-12 23:00:00,1.1
