Group Starts,Avg - Delay (Peace Arch)
2019-06-13 00:00:00,0.3
2019-06-13 01:00:00,0.0
2019-06-13 02:00:00,0.0
2019-06-13 03:00:00,0.0
2019-06-13 04:00:00,0.0
2019-06-13 05:00:00,0.1
2019-06-13 06:00:00,0.0
2019-06-13 07:00:00,2.6
2019-06-13 08:00:00,0.8
2019-06-13 09:00:00,3.5
2019-06-13 10:00:00,17.6
2019-06-13 11:00:00,23.5
2019-06-13 12:00:00,34.1
2019-06-13 13:00:00,34.2
2019-06-13 14:00:00,33.6
2019-06-13 15:00:00,25.1
2019-06-13 16:00:00,34.3
2019-06-13 17:00:00,26.5
2019-06-13 18:00:00,6.3
2019-06-13 19:00:00,0.9
2019-06-13 20:00:00,0.8
2019-06-13 21:00:00,0.3
2019-06-13 22:00:00,0.3
2019-06-13 23:00:00,5.0
