Group Starts,Avg - Delay (Peace Arch)
2019-07-22 00:00:00,1.9
2019-07-22 01:00:00,0.3
2019-07-22 02:00:00,0.0
2019-07-22 03:00:00,0.0
2019-07-22 04:00:00,0.0
2019-07-22 05:00:00,0.4
2019-07-22 06:00:00,0.6
2019-07-22 07:00:00,1.8
2019-07-22 08:00:00,10.0
2019-07-22 09:00:00,1.8
2019-07-22 10:00:00,9.2
2019-07-22 11:00:00,13.9
2019-07-22 12:00:00,9.3
2019-07-22 13:00:00,21.0
2019-07-22 14:00:00,21.5
2019-07-22 15:00:00,17.9
2019-07-22 16:00:00,22.9
2019-07-22 17:00:00,18.3
2019-07-22 18:00:00,27.2
2019-07-22 19:00:00,8.2
2019-07-22 20:00:00,1.3
2019-07-22 21:00:00,1.4
2019-07-22 22:00:00,1.1
2019-07-22 23:00:00,0.8
