Group Starts,Avg - Delay (Peace Arch)
2019-07-30 00:00:00,0.1
2019-07-30 01:00:00,0.0
2019-07-30 02:00:00,0.0
2019-07-30 03:00:00,0.0
2019-07-30 04:00:00,0.0
2019-07-30 05:00:00,1.4
2019-07-30 06:00:00,2.8
2019-07-30 07:00:00,7.0
2019-07-30 08:00:00,6.6
2019-07-30 09:00:00,2.3
2019-07-30 10:00:00,2.8
2019-07-30 11:00:00,8.8
2019-07-30 12:00:00,21.2
2019-07-30 13:00:00,17.4
2019-07-30 14:00:00,3.4
2019-07-30 15:00:00,6.8
2019-07-30 16:00:00,1.9
2019-07-30 17:00:00,3.1
2019-07-30 18:00:00,9.5
2019-07-30 19:00:00,1.3
2019-07-30 20:00:00,1.6
2019-07-30 21:00:00,1.4
2019-07-30 22:00:00,1.5
2019-07-30 23:00:00,0.8
