Group Starts,Avg - Delay (Peace Arch)
2019-03-28 00:00:00,0.0
2019-03-28 01:00:00,0.0
2019-03-28 02:00:00,0.0
2019-03-28 03:00:00,0.0
2019-03-28 04:00:00,0.0
2019-03-28 05:00:00,0.1
2019-03-28 06:00:00,0.3
2019-03-28 07:00:00,1.3
2019-03-28 08:00:00,0.3
2019-03-28 09:00:00,14.7
2019-03-28 10:00:00,12.9
2019-03-28 11:00:00,39.9
2019-03-28 12:00:00,41.7
2019-03-28 13:00:00,42.1
2019-03-28 14:00:00,35.9
2019-03-28 15:00:00,22.8
2019-03-28 16:00:00,25.8
2019-03-28 17:00:00,9.7
2019-03-28 18:00:00,4.7
2019-03-28 19:00:00,1.1
2019-03-28 20:00:00,9.8
2019-03-28 21:00:00,1.6
2019-03-28 22:00:00,12.5
2019-03-28 23:00:00,16.9
