Group Starts,Avg - Delay (Peace Arch)
2019-07-28 00:00:00,3.8
2019-07-28 01:00:00,0.3
2019-07-28 02:00:00,0.0
2019-07-28 03:00:00,0.0
2019-07-28 04:00:00,0.0
2019-07-28 05:00:00,0.6
2019-07-28 06:00:00,0.8
2019-07-28 07:00:00,17.2
2019-07-28 08:00:00,21.3
2019-07-28 09:00:00,37.0
2019-07-28 10:00:00,44.9
2019-07-28 11:00:00,43.4
2019-07-28 12:00:00,45.9
2019-07-28 13:00:00,41.3
2019-07-28 14:00:00,47.8
2019-07-28 15:00:00,53.8
2019-07-28 16:00:00,43.7
2019-07-28 17:00:00,49.3
2019-07-28 18:00:00,43.4
2019-07-28 19:00:00,39.4
2019-07-28 20:00:00,8.9
2019-07-28 21:00:00,4.9
2019-07-28 22:00:00,10.8
2019-07-28 23:00:00,6.8
