Group Starts,Avg - Delay (Peace Arch)
2019-03-07 00:00:00,0.0
2019-03-07 01:00:00,0.0
2019-03-07 02:00:00,0.0
2019-03-07 03:00:00,0.0
2019-03-07 04:00:00,0.0
2019-03-07 05:00:00,0.0
2019-03-07 06:00:00,0.0
2019-03-07 07:00:00,0.8
2019-03-07 08:00:00,0.3
2019-03-07 09:00:00,3.3
2019-03-07 10:00:00,13.7
2019-03-07 11:00:00,13.4
2019-03-07 12:00:00,18.8
2019-03-07 13:00:00,18.7
2019-03-07 14:00:00,8.7
2019-03-07 15:00:00,0.8
2019-03-07 16:00:00,0.8
2019-03-07 17:00:00,0.2
2019-03-07 18:00:00,0.0
2019-03-07 19:00:00,0.4
2019-03-07 20:00:00,0.5
2019-03-07 21:00:00,1.3
2019-03-07 22:00:00,0.1
2019-03-07 23:00:00,0.0
