Group Starts,Avg - Delay (Peace Arch)
2019-06-16 00:00:00,3.3
2019-06-16 01:00:00,0.0
2019-06-16 02:00:00,0.0
2019-06-16 03:00:00,0.0
2019-06-16 04:00:00,0.0
2019-06-16 05:00:00,0.0
2019-06-16 06:00:00,4.3
2019-06-16 07:00:00,13.6
2019-06-16 08:00:00,5.2
2019-06-16 09:00:00,10.0
2019-06-16 10:00:00,11.6
2019-06-16 11:00:00,16.3
2019-06-16 12:00:00,23.6
2019-06-16 13:00:00,23.3
2019-06-16 14:00:00,31.8
2019-06-16 15:00:00,25.4
2019-06-16 16:00:00,38.6
2019-06-16 17:00:00,50.9
2019-06-16 18:00:00,51.5
2019-06-16 19:00:00,39.3
2019-06-16 20:00:00,6.1
2019-06-16 21:00:00,11.7
2019-06-16 22:00:00,1.5
2019-06-16 23:00:00,3.3
