Group Starts,Avg - Delay (Peace Arch)
2019-01-03 00:00:00,0.0
2019-01-03 01:00:00,0.0
2019-01-03 02:00:00,0.0
2019-01-03 03:00:00,0.0
2019-01-03 04:00:00,0.0
2019-01-03 05:00:00,0.3
2019-01-03 06:00:00,0.3
2019-01-03 07:00:00,0.9
2019-01-03 08:00:00,0.6
2019-01-03 09:00:00,2.6
2019-01-03 10:00:00,19.8
2019-01-03 11:00:00,29.3
2019-01-03 12:00:00,33.5
2019-01-03 13:00:00,45.0
2019-01-03 14:00:00,23.8
2019-01-03 15:00:00,15.2
2019-01-03 16:00:00,3.7
2019-01-03 17:00:00,1.3
2019-01-03 18:00:00,0.8
2019-01-03 19:00:00,0.7
2019-01-03 20:00:00,1.1
2019-01-03 21:00:00,1.7
2019-01-03 22:00:00,0.3
2019-01-03 23:00:00,0.0
